value,time,bytes,gctime,gcstats
holds,22.276801255,1876530763,0.954916517,"Base.GC_Diff(1876530763, 1151, 0, 42253501, 1601, 1133, 954916517, 5, 0)"
holds,65.30261418,6946068521,3.382196998,"Base.GC_Diff(6946068521, 2382, 0, 157794284, 19082, 2477, 3382196998, 19, 0)"
unknown,101.851254715,12779430144,5.633012461,"Base.GC_Diff(12779430144, 9664, 0, 280733988, 40985, 9470, 5633012461, 34, 0)"
unknown,99.878295666,12606088541,5.585151488,"Base.GC_Diff(12606088541, 8673, 0, 279393736, 40730, 8633, 5585151488, 33, 0)"
holds,34.966638483,3215227392,1.538614517,"Base.GC_Diff(3215227392, 1443, 0, 72965078, 3985, 1421, 1538614517, 8, 0)"
holds,20.887110157,1853230458,0.947095856,"Base.GC_Diff(1853230458, 1088, 0, 41902845, 1994, 1147, 947095856, 5, 0)"
holds,7.280279204,584120465,0.390575649,"Base.GC_Diff(584120465, 502, 0, 12834239, 995, 612, 390575649, 2, 0)"
holds,5.951992144,411654307,0.214435325,"Base.GC_Diff(411654307, 369, 0, 8754980, 959, 375, 214435325, 1, 0)"
holds,4.918140245,301561367,0.197077144,"Base.GC_Diff(301561367, 290, 0, 6356023, 840, 346, 197077144, 1, 0)"
unknown,93.910587233,12558965082,5.50546693,"Base.GC_Diff(12558965082, 8366, 0, 279171162, 40695, 8213, 5505466930, 33, 0)"
unknown,110.650670929,12633171762,5.956581452,"Base.GC_Diff(12633171762, 8645, 0, 280033274, 40873, 8363, 5956581452, 33, 0)"
unknown,103.008730268,12885085873,5.73567132,"Base.GC_Diff(12885085873, 9417, 0, 280641082, 41083, 9518, 5735671320, 33, 0)"
unknown,110.363595298,12487930032,6.008839712,"Base.GC_Diff(12487930032, 7636, 0, 279659511, 40723, 7883, 6008839712, 33, 0)"
unknown,112.342905307,12802119426,5.989653239,"Base.GC_Diff(12802119426, 9403, 0, 281005636, 41098, 9125, 5989653239, 33, 0)"
unknown,116.580252912,13123480241,6.297032476,"Base.GC_Diff(13123480241, 10537, 0, 281716512, 41254, 10448, 6297032476, 34, 0)"
unknown,103.354149153,13203804280,5.978539491,"Base.GC_Diff(13203804280, 10916, 0, 281526471, 41225, 10949, 5978539491, 34, 0)"
unknown,99.382711047,13162363296,5.729093492,"Base.GC_Diff(13162363296, 10748, 0, 281673942, 41257, 11093, 5729093492, 34, 0)"
unknown,99.156553083,13072228966,5.598827217,"Base.GC_Diff(13072228966, 10453, 0, 281190119, 41153, 10024, 5598827217, 33, 0)"
unknown,98.077124992,12343042894,5.34384319,"Base.GC_Diff(12343042894, 8053, 0, 274822772, 40002, 8257, 5343843190, 31, 0)"
unknown,89.561548494,12643440820,5.231225182,"Base.GC_Diff(12643440820, 9344, 0, 278089181, 40451, 9102, 5231225182, 32, 0)"
unknown,76.421550433,12337820827,4.863664068,"Base.GC_Diff(12337820827, 7279, 0, 277748373, 40496, 7523, 4863664068, 31, 0)"
unknown,94.898166539,12887684098,5.66533358,"Base.GC_Diff(12887684098, 7547, 0, 289938120, 42257, 7642, 5665333580, 33, 0)"
unknown,100.576796843,12721825091,5.756231125,"Base.GC_Diff(12721825091, 9691, 0, 278222688, 40485, 9340, 5756231125, 32, 0)"
unknown,101.494220468,12955094963,5.777078915,"Base.GC_Diff(12955094963, 10127, 0, 280568103, 41040, 10249, 5777078915, 32, 0)"
unknown,99.381280609,13039345954,5.806144493,"Base.GC_Diff(13039345954, 10351, 0, 281485278, 41122, 10259, 5806144493, 33, 0)"
unknown,97.443493927,13034628141,5.510505429,"Base.GC_Diff(13034628141, 10155, 0, 281279100, 41227, 10405, 5510505429, 32, 0)"
unknown,100.917363356,12805175095,5.777907561,"Base.GC_Diff(12805175095, 9295, 0, 280246170, 40844, 9198, 5777907561, 32, 0)"
unknown,105.083608777,12912477273,5.885809654,"Base.GC_Diff(12912477273, 9696, 0, 280636452, 40968, 9840, 5885809654, 32, 0)"
unknown,98.909309128,12567301912,5.40661054,"Base.GC_Diff(12567301912, 8734, 0, 278517031, 40704, 8423, 5406610540, 30, 0)"
unknown,101.664830612,12657692947,5.685321156,"Base.GC_Diff(12657692947, 8223, 0, 280957823, 41093, 8432, 5685321156, 31, 0)"
unknown,111.407290487,12297981452,5.999640891,"Base.GC_Diff(12297981452, 7169, 0, 276662352, 40561, 7195, 5999640891, 30, 0)"
unknown,106.84790541,13031846194,5.995159956,"Base.GC_Diff(13031846194, 10202, 0, 281785016, 41240, 10084, 5995159956, 32, 0)"
unknown,112.312714952,13060084915,6.053573872,"Base.GC_Diff(13060084915, 10317, 0, 281546511, 41173, 10269, 6053573872, 32, 0)"
unknown,115.336055405,13182415373,6.133987026,"Base.GC_Diff(13182415373, 10734, 0, 281745277, 41302, 10842, 6133987026, 32, 0)"
unknown,114.46702944,12808969131,5.944893143,"Base.GC_Diff(12808969131, 9570, 0, 279824643, 40907, 9461, 5944893143, 30, 0)"
unknown,111.487482794,13144457949,6.337780409,"Base.GC_Diff(13144457949, 10542, 0, 281829153, 41214, 10529, 6337780409, 32, 0)"
unknown,114.06866947,12405248863,5.952478766,"Base.GC_Diff(12405248863, 7497, 0, 277662232, 40553, 7716, 5952478766, 30, 0)"
unknown,108.67537925,12381154140,5.806660241,"Base.GC_Diff(12381154140, 8066, 0, 275836716, 40091, 8029, 5806660241, 29, 0)"
holds,44.928455016,4638449083,2.290855249,"Base.GC_Diff(4638449083, 1528, 0, 105086582, 10810, 1554, 2290855249, 11, 0)"
unknown,105.783242908,12514085402,5.906323503,"Base.GC_Diff(12514085402, 8332, 0, 278575209, 40562, 8106, 5906323503, 30, 0)"
unknown,101.771605682,12915618323,5.636514949,"Base.GC_Diff(12915618323, 9954, 0, 280562305, 41056, 9951, 5636514949, 30, 0)"
unknown,101.09161653,13251817120,5.816604405,"Base.GC_Diff(13251817120, 11080, 0, 282197731, 41333, 11123, 5816604405, 32, 0)"
unknown,104.796495518,13054005709,5.789140593,"Base.GC_Diff(13054005709, 10349, 0, 281206825, 41256, 10198, 5789140593, 30, 0)"
unknown,114.368336956,13255568227,6.107838385,"Base.GC_Diff(13255568227, 11072, 0, 281676089, 41301, 11062, 6107838385, 31, 0)"
unknown,110.5878859,13002443276,6.166424379,"Base.GC_Diff(13002443276, 10096, 0, 281891897, 41211, 10152, 6166424379, 31, 0)"
unknown,100.971911543,12835665971,5.572662731,"Base.GC_Diff(12835665971, 10063, 0, 277930559, 40007, 10392, 5572662731, 30, 0)"
unknown,113.670117185,13146494369,5.923257096,"Base.GC_Diff(13146494369, 10903, 0, 281245561, 40714, 10506, 5923257096, 30, 0)"
unknown,115.077440448,13328960920,6.228985131,"Base.GC_Diff(13328960920, 11684, 0, 282118038, 40857, 11661, 6228985131, 31, 0)"
unknown,111.220909167,13326907541,5.906142505,"Base.GC_Diff(13326907541, 11714, 0, 281636007, 40940, 11673, 5906142505, 30, 0)"
unknown,114.757188228,13215496632,6.291994037,"Base.GC_Diff(13215496632, 11172, 0, 282076790, 40775, 11261, 6291994037, 31, 0)"
unknown,115.752002313,13236074626,5.979753063,"Base.GC_Diff(13236074626, 11249, 0, 281756861, 40828, 11207, 5979753063, 30, 0)"
unknown,76.361272779,13185348777,4.92110904,"Base.GC_Diff(13185348777, 11133, 0, 281716383, 40786, 11095, 4921109040, 30, 0)"
unknown,74.716539627,13325176667,4.777345791,"Base.GC_Diff(13325176667, 11653, 0, 281306121, 40719, 11660, 4777345791, 30, 0)"
unknown,75.07275465,13253669807,4.835876351,"Base.GC_Diff(13253669807, 11369, 0, 281746625, 40778, 11422, 4835876351, 30, 0)"
violated,16.46083916,2090021522,0.974270669,"Base.GC_Diff(2090021522, 1076, 0, 46967186, 5955, 1398, 974270669, 5, 0)"
violated,18.714216821,2083260650,0.782439049,"Base.GC_Diff(2083260650, 1159, 0, 46449948, 5948, 1053, 782439049, 4, 0)"
violated,0.800782605,42830041,0.220968056,"Base.GC_Diff(42830041, 47, 0, 989330, 350, 224, 220968056, 1, 0)"
unknown,103.596033153,13238019848,5.534006761,"Base.GC_Diff(13238019848, 11094, 0, 281399071, 40824, 10707, 5534006761, 29, 0)"
violated,0.446076497,24107082,0.0,"Base.GC_Diff(24107082, 47, 0, 404332, 348, 0, 0, 0, 0)"
violated,0.429255568,24108009,0.0,"Base.GC_Diff(24108009, 47, 0, 404331, 348, 0, 0, 0, 0)"
violated,0.812729924,39327104,0.205632234,"Base.GC_Diff(39327104, 47, 0, 879948, 348, 538, 205632234, 1, 0)"
violated,0.419795969,24107688,0.0,"Base.GC_Diff(24107688, 47, 0, 404331, 348, 0, 0, 0, 0)"
violated,20.394724271,2074037230,0.881185408,"Base.GC_Diff(2074037230, 1077, 0, 46395913, 5920, 1038, 881185408, 4, 0)"
violated,0.373265986,24111110,0.0,"Base.GC_Diff(24111110, 47, 0, 404327, 350, 0, 0, 0, 0)"
unknown,104.059723064,13151956140,5.844461065,"Base.GC_Diff(13151956140, 10992, 0, 281673625, 40645, 10683, 5844461065, 30, 0)"
