value,time,bytes,gctime,gcstats  
holds,0.011576123,9150435,0.0,"Base.GC_Diff(9150435, 55, 0, 16053, 1041, 0, 0, 0, 0)"
holds,0.017763923,17102865,0.0,"Base.GC_Diff(17102865, 221, 0, 20362, 1613, 0, 0, 0, 0)"
holds,0.141685718,299959480,0.01656562,"Base.GC_Diff(299959480, 3598, 0, 75903, 2978, 3642, 16565620, 1, 0)"
holds,0.046098694,88780037,0.0,"Base.GC_Diff(88780037, 1361, 0, 42271, 3032, 0, 0, 0, 0)"
holds,0.005637273,3383624,0.0,"Base.GC_Diff(3383624, 15, 0, 8353, 408, 0, 0, 0, 0)"
holds,0.005047493,3385826,0.0,"Base.GC_Diff(3385826, 15, 0, 8353, 408, 0, 0, 0, 0)"
holds,0.0050718,3383721,0.0,"Base.GC_Diff(3383721, 15, 0, 8352, 408, 0, 0, 0, 0)"
holds,0.005206895,3384443,0.0,"Base.GC_Diff(3384443, 15, 0, 8352, 408, 0, 0, 0, 0)"
holds,0.005190666,3386575,0.0,"Base.GC_Diff(3386575, 15, 0, 8351, 409, 0, 0, 0, 0)"
holds,0.043269612,77266706,0.0,"Base.GC_Diff(77266706, 1332, 0, 37036, 2785, 0, 0, 0, 0)"
holds,0.020905676,23975002,0.0,"Base.GC_Diff(23975002, 377, 0, 22628, 2182, 0, 0, 0, 0)"
holds,0.031396363,52871961,0.0,"Base.GC_Diff(52871961, 858, 0, 28538, 2223, 0, 0, 0, 0)"
holds,0.021607892,26446472,0.0,"Base.GC_Diff(26446472, 527, 0, 23294, 1885, 0, 0, 0, 0)"
holds,0.100580441,196470634,0.013256422,"Base.GC_Diff(196470634, 2834, 0, 60952, 3293, 6184, 13256422, 1, 0)"
holds,0.393847955,999326025,0.015100818,"Base.GC_Diff(999326025, 4928, 0, 178247, 4366, 5321, 15100818, 2, 0)"
holds,2.818274535,5890894768,0.118107858,"Base.GC_Diff(5890894768, 16567, 0, 841377, 31424, 17401, 118107858, 15, 0)"
holds,5.530085113,10425459640,0.272720369,"Base.GC_Diff(10425459640, 29580, 0, 1444273, 51715, 29853, 272720369, 26, 0)"
holds,1.869444793,3168240014,0.218557645,"Base.GC_Diff(3168240014, 9965, 0, 480913, 16819, 8774, 218557645, 8, 0)"
holds,0.023877111,21427734,0.0,"Base.GC_Diff(21427734, 242, 0, 24257, 2081, 0, 0, 0, 0)"
holds,0.039855042,58204572,0.0,"Base.GC_Diff(58204572, 1003, 0, 29435, 2076, 0, 0, 0, 0)"
holds,0.016587417,17744835,0.0,"Base.GC_Diff(17744835, 358, 0, 18702, 1480, 0, 0, 0, 0)"
holds,0.023991038,27342394,0.0,"Base.GC_Diff(27342394, 530, 0, 23418, 1886, 0, 0, 0, 0)"
holds,0.022592972,28246395,0.0,"Base.GC_Diff(28246395, 531, 0, 23500, 1932, 0, 0, 0, 0)"
holds,0.410365499,900160347,0.033579347,"Base.GC_Diff(900160347, 5679, 0, 167773, 3973, 9450, 33579347, 3, 0)"
holds,0.401399479,975499818,0.026085721,"Base.GC_Diff(975499818, 5297, 0, 174693, 3919, 4320, 26085721, 2, 0)"
holds,0.33784053,793433909,0.019427298,"Base.GC_Diff(793433909, 5129, 0, 152901, 4066, 5248, 19427298, 2, 0)"
holds,2.341482008,4561112687,0.079563244,"Base.GC_Diff(4561112687, 13688, 0, 672793, 24933, 13352, 79563244, 11, 0)"
holds,0.093646133,164662289,0.007718578,"Base.GC_Diff(164662289, 2218, 0, 58034, 3474, 2271, 7718578, 1, 0)"
holds,0.023217899,35530912,0.0,"Base.GC_Diff(35530912, 684, 0, 24599, 1833, 0, 0, 0, 0)"
holds,0.032742671,47966635,0.0,"Base.GC_Diff(47966635, 869, 0, 31370, 2492, 0, 0, 0, 0)"
holds,0.040200726,54552100,0.0,"Base.GC_Diff(54552100, 1315, 0, 33870, 2839, 0, 0, 0, 0)"
