value,time,bytes,gctime,gcstats
holds,0.179820385,116430203,0.0,"Base.GC_Diff(116430203, 1871, 0, 514527, 4717, 0, 0, 0, 0)"
holds,0.188785252,89658681,0.067628979,"Base.GC_Diff(89658681, 1268, 0, 425733, 4263, 2211, 67628979, 1, 0)"
holds,0.188884446,142022448,0.0,"Base.GC_Diff(142022448, 2243, 0, 661008, 6319, 0, 0, 0, 0)"
holds,0.142576264,86787117,0.032685986,"Base.GC_Diff(86787117, 1431, 0, 367540, 3438, 3430, 32685986, 1, 0)"
holds,0.082206007,72361008,0.0,"Base.GC_Diff(72361008, 1177, 0, 298990, 2841, 0, 0, 0, 0)"
holds,0.117364635,86737594,0.022216454,"Base.GC_Diff(86737594, 1524, 0, 289775, 2398, 3882, 22216454, 1, 0)"
holds,0.052027732,53263761,0.0,"Base.GC_Diff(53263761, 924, 0, 171851, 1473, 0, 0, 0, 0)"
holds,0.031510242,33988947,0.0,"Base.GC_Diff(33988947, 578, 0, 98051, 868, 0, 0, 0, 0)"
holds,0.025911858,27574935,0.0,"Base.GC_Diff(27574935, 441, 0, 68645, 624, 0, 0, 0, 0)"
holds,0.159809586,117442922,0.018422066,"Base.GC_Diff(117442922, 2015, 0, 490282, 4436, 3792, 18422066, 1, 0)"
holds,0.505909054,409413586,0.015177611,"Base.GC_Diff(409413586, 6916, 0, 1905764, 17520, 3821, 15177611, 1, 0)"
holds,0.219390487,153051521,0.017306746,"Base.GC_Diff(153051521, 2369, 0, 724495, 7003, 3841, 17306746, 1, 0)"
holds,0.193832005,118363872,0.026227818,"Base.GC_Diff(118363872, 1700, 0, 611560, 6085, 3423, 26227818, 1, 0)"
holds,1.307859049,924195474,0.074770243,"Base.GC_Diff(924195474, 13338, 0, 5018804, 49710, 13324, 74770243, 4, 0)"
holds,0.691706551,500464913,0.037171665,"Base.GC_Diff(500464913, 8091, 0, 2642219, 25290, 7108, 37171665, 2, 0)"
holds,5.673302783,3669527352,0.335184222,"Base.GC_Diff(3669527352, 52321, 0, 22338213, 220389, 53162, 335184222, 16, 0)"
holds,13.586049713,8554261584,0.814110003,"Base.GC_Diff(8554261584, 98511, 0, 54528691, 554756, 98497, 814110003, 37, 0)"
holds,12.041212157,7769350758,0.722209223,"Base.GC_Diff(7769350758, 95566, 0, 48096634, 480596, 95547, 722209223, 33, 0)"
holds,0.644270801,431035102,0.064755478,"Base.GC_Diff(431035102, 6605, 0, 2280443, 21893, 4918, 64755478, 2, 0)"
holds,0.295388828,203307364,0.019122384,"Base.GC_Diff(203307364, 3065, 0, 1027880, 9907, 3662, 19122384, 1, 0)"
holds,0.351116021,268753883,0.018618099,"Base.GC_Diff(268753883, 4609, 0, 1288607, 11755, 3654, 18618099, 1, 0)"
holds,0.2572101,169813234,0.019401265,"Base.GC_Diff(169813234, 2326, 0, 963118, 9804, 3812, 19401265, 1, 0)"
holds,1.817630666,1193187683,0.106078904,"Base.GC_Diff(1193187683, 15551, 0, 7189507, 74082, 15972, 106078904, 5, 0)"
holds,2.953106622,2030542643,0.1964298,"Base.GC_Diff(2030542643, 29987, 0, 11261903, 111728, 30484, 196429800, 9, 0)"
